Year,Country,NumPub,TopJournal,FracTop
1990.0,AD,1,0.0,0.0
1990.0,AE,109,73.0,0.6697247706422018
1990.0,AF,2,1.0,0.5
1990.0,AL,34,10.0,0.29411764705882354
1990.0,AM,212,96.0,0.4528301886792453
1990.0,AO,11,9.0,0.8181818181818182
1990.0,AR,1612,976.0,0.6054590570719603
1990.0,AT,2899,1664.0,0.5739910313901345
1990.0,AU,12088,8497.0,0.702928524156188
1990.0,AZ,81,36.0,0.4444444444444444
1990.0,BA,31,15.0,0.4838709677419355
1990.0,BB,43,32.0,0.7441860465116279
1990.0,BD,235,151.0,0.6425531914893617
1990.0,BE,5087,3288.0,0.646353449970513
1990.0,BF,12,7.0,0.5833333333333334
1990.0,BG,1209,732.0,0.6054590570719603
1990.0,BH,98,56.0,0.5714285714285714
1990.0,BI,29,18.0,0.6206896551724138
1990.0,BJ,8,2.0,0.25
1990.0,BM,2,1.0,0.5
1990.0,BN,24,10.0,0.4166666666666667
1990.0,BO,23,6.0,0.2608695652173913
1990.0,BR,3671,1551.0,0.42250068101334787
1990.0,BS,1,0.0,0.0
1990.0,BT,1,1.0,1.0
1990.0,BW,23,11.0,0.4782608695652174
1990.0,BY,536,242.0,0.45149253731343286
1990.0,BZ,19,14.0,0.7368421052631579
1990.0,CA,25342,17698.0,0.6983663483545103
1990.0,CD,30,19.0,0.6333333333333333
1990.0,CF,11,9.0,0.8181818181818182
1990.0,CG,18,9.0,0.5
1990.0,CH,7042,4889.0,0.6942629934677649
1990.0,CI,43,18.0,0.4186046511627907
1990.0,CL,1104,422.0,0.3822463768115942
1990.0,CM,95,60.0,0.631578947368421
1990.0,CN,9145,4120.0,0.4505194095133953
1990.0,CO,424,136.0,0.32075471698113206
1990.0,CR,129,43.0,0.3333333333333333
1990.0,CU,282,71.0,0.25177304964539005
1990.0,CW,40,10.0,0.25
1990.0,CY,30,15.0,0.5
1990.0,CZ,2855,1274.0,0.4462346760070052
1990.0,DE,33880,20278.0,0.5985242030696576
1990.0,DJ,1,1.0,1.0
1990.0,DK,3903,2588.0,0.66307968229567
1990.0,DO,40,11.0,0.275
1990.0,DZ,89,63.0,0.7078651685393258
1990.0,EC,49,27.0,0.5510204081632653
1990.0,EE,139,92.0,0.6618705035971223
1990.0,EG,1551,744.0,0.4796905222437137
1990.0,ER,2,0.0,0.0
1990.0,ES,8490,4606.0,0.5425206124852768
1990.0,ET,186,74.0,0.3978494623655914
1990.0,FI,3806,2762.0,0.7256962690488702
1990.0,FJ,20,7.0,0.35
1990.0,FO,2,1.0,0.5
1990.0,FR,22521,13226.0,0.5872740997291417
1990.0,GA,23,7.0,0.30434782608695654
1990.0,GB,45708,31980.0,0.6996587030716723
1990.0,GD,1,1.0,1.0
1990.0,GE,397,254.0,0.6397984886649875
1990.0,GF,4,3.0,0.75
1990.0,GH,85,36.0,0.4235294117647059
1990.0,GI,3,1.0,0.3333333333333333
1990.0,GL,1,0.0,0.0
1990.0,GM,24,20.0,0.8333333333333334
1990.0,GN,4,0.0,0.0
1990.0,GP,15,8.0,0.5333333333333333
1990.0,GR,1669,1023.0,0.6129418813660875
