PublicationId,AuthorId,AffiliationId,Year,Date,JournalId,DocType,C10,Ctotal
2022199356,2537508914,0.0,1946.0,1946-06-01,137773608.0,j,1.0,5.0
1972191178,2537508914,0.0,1946.0,1946-11-01,0.0,0,3.0,7.0
2045241839,2537508914,0.0,1947.0,1947-01-01,0.0,0,6.0,28.0
2033547376,2537508914,0.0,1947.0,1947-01-01,0.0,0,5.0,29.0
2323773808,2537508914,0.0,1948.0,1948-07-01,0.0,0,0.0,0.0
2073811970,2537508914,0.0,1949.0,1949-10-01,0.0,0,0.0,1.0
1990967358,2537508914,0.0,1949.0,1949-05-01,0.0,0,2.0,9.0
2044809135,2537508914,241749.0,1952.0,1952-09-01,137773608.0,j,7.0,9.0
1972538590,2537508914,241749.0,1952.0,1952-03-28,70236976.0,j,1.0,9.0
2049281537,2537508914,0.0,1953.0,1953-04-01,59378048.0,j,1.0,4.0
2035705318,2537508914,0.0,1953.0,1953-07-01,6101083.0,j,0.0,1.0
1673071179,2537508914,0.0,1954.0,1954-08-01,137773608.0,j,0.0,0.0
1974521230,2537508914,0.0,1954.0,1954-06-01,70236976.0,j,1.0,2.0
2042393387,2537508914,0.0,1955.0,1955-01-01,178745245.0,j,1.0,4.0
2333656085,2537508914,0.0,1955.0,1955-03-01,54255202.0,j,0.0,0.0
2331959595,2537508914,0.0,1955.0,1955-03-01,54255202.0,j,0.0,12.0
1990240498,2537508914,0.0,1955.0,1955-01-01,14252860.0,j,0.0,1.0
2998760578,2537508914,0.0,1955.0,1955-01-01,0.0,b,0.0,14.0
2075510068,2537508914,241749.0,1956.0,1956-03-31,137773608.0,j,2.0,8.0
2795789037,2537508914,0.0,1956.0,1956-01-01,77503192.0,j,0.0,0.0
1994040027,2537508914,0.0,1956.0,1956-07-01,14252860.0,j,1.0,2.0
2513771861,2537508914,0.0,1957.0,1957-12-01,192525298.0,j,0.0,1.0
2517944898,2537508914,0.0,1958.0,1958-03-01,192525298.0,j,0.0,0.0
3010361520,2537508914,0.0,1959.0,1959-12-01,169320561.0,j,0.0,0.0
3022784477,2537508914,0.0,1959.0,1959-07-01,169320561.0,j,0.0,0.0
